project,total jar,new jar,big change jar,small change jar,number of commits
actiontech-dble,3865,5,7,10,49
alfasoftware-soapstone,2861,59,8,27,32
apache-sling-org-apache-sling-feature,631,10,5,11,35
asciidoctor-asciidoclet,445,14,8,22,24
braintree-braintree_java,839,14,1,2,49
ChannelApe-shopify-sdk,2735,9,0,0,49
contentful-contentful.java,1757,19,10,21,49
datastax-native-protocol,0,0,0,0,0
davidmoten-rxjava2-file,303,4,2,12,31
davidmoten-rxjava-slf4j,456,9,2,16,49
devcon5io-mutation-analysis-plugin,1372,5,11,14,49
fsantiag-sonar-clojure,662,7,2,2,49
gabrie-allaigre-sonar-gitlab-plugin,3442,4,7,12,49
googleapis-java-pubsub-group-kafka-connector,1606,24,38,247,18
GoogleCloudPlatform-kafka-pubsub-emulator,1122,4,18,38,13
jdbc-observations-datasource-proxy,1301,4,3,3,49
jsunsoftware-http-request,1761,17,10,117,38
Mastercard-client-encryption-java,2060,8,10,28,49
mdewilde-opml-parser,171,6,5,14,17
qoomon-banking-swift-messages-java,272,0,0,22,17
sailthru-sailthru-java-client,357,0,0,0,21
smartystreets-smartystreets-java-sdk,361,0,1,8,19
soot-oss-heros,93,9,1,2,12
vaulttec-sonar-auth-oidc,685,3,5,18,25
venushka-jmxeval,231,12,3,4,20
weswilliams-GivWenZen,427,22,11,4,19
Pablissimo-SonarTsPlugin,333,0,0,0,9
pagehelper-Mybatis-PageHelper,1158,8,4,10,49
sblendorio-petscii-bbs,3381,0,0,0,49
sigopt-sigopt-java,910,4,4,5,49
studerw-td-ameritrade-client,952,13,6,28,49
TNG-property-loader,112,0,3,0,14
valfirst-jbehave-junit-runner,360,0,2,3,18
visenze-visearch-sdk-java,1176,0,0,0,49
walmartlabs-gozer,629,6,0,16,49
whizzosoftware-WZWave,625,8,0,0,49
apache-commons-io,95,0,0,0,19
apache-commons-lang,228,0,0,3,19
google-compile-testing,763,9,8,65,49
imglib-imglib2,114,0,0,0,19
jmxtrans-embedded-jmxtrans,1225,7,5,13,49
JodaOrg-joda-time,294,0,1,0,49
jscep-jscep,1377,6,4,6,49
meltmedia-jgroups-aws,321,67,8,8,10
microfocus-idol-java-configuration-impl,565,21,4,4,23
mitre-HTTP-Proxy-Servlet,788,11,8,20,49
square-javapoet,209,0,0,0,19
timmolter-Yank,160,1,2,22,16
ben-xo-cdjscrobbler,692,0,0,3,24
coralblocks-CoralME,240,0,0,0,24
danielwegener-logback-kafka-appender,507,14,1,8,20
dropwizard-dropwizard-elasticsearch,472,0,0,0,8
gini-dropwizard-gelf,1212,87,29,211,16
icgw-FCA-Map,888,0,0,0,24
JCVenterInstitute-VIGOR4,1508,3,2,0,24
j-easy-easy-flows,264,0,0,0,24
LarryDpk-Google-Bard,543,12,1,3,24
macacajs-wd.java,841,1,0,1,24
martin-g-wicket-jquery-selectors,254,4,11,17,16
messenger4j-messenger4j,396,6,3,4,24
ripreal-V8LogScanner,231,3,0,3,21
sabomichal-liquibase-mssql,147,0,0,4,20
simonnagl-netdata-java-orchestrator,443,10,5,12,24
tarql-tarql,732,22,16,34,24
tcurdt-jdeb,549,4,5,25,24
zerouwar-Octopus,368,3,8,3,19
